epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,11919.5,0.67862,0.51357,0.97956,0.94777,0.94271,0.96732,0.83981,0.58516,0.33882,0.89629,0.004357,0.004357,0.004357
59,12124.8,0.67724,0.50519,0.98096,0.94111,0.95492,0.97297,0.84381,0.58777,0.33093,0.89331,0.004258,0.004258,0.004258
60,12330,0.66958,0.50825,0.97853,0.94563,0.93869,0.97099,0.8453,0.58138,0.33077,0.8912,0.004159,0.004159,0.004159
61,12535.4,0.67288,0.49807,0.98222,0.94676,0.95164,0.97371,0.84906,0.57833,0.32662,0.89107,0.00406,0.00406,0.00406
62,12740.4,0.67471,0.49379,0.9817,0.95218,0.95021,0.97322,0.84549,0.58446,0.32612,0.89434,0.003961,0.003961,0.003961
63,12945.4,0.66978,0.49182,0.97565,0.96531,0.93661,0.97238,0.84544,0.58097,0.31999,0.88978,0.003862,0.003862,0.003862
64,13150.4,0.65639,0.48212,0.96858,0.94782,0.95588,0.97745,0.84828,0.58154,0.31084,0.8877,0.003763,0.003763,0.003763
65,13355.7,0.656,0.48327,0.96865,0.97229,0.93201,0.97749,0.8483,0.57929,0.31717,0.88654,0.003664,0.003664,0.003664
66,13561,0.65771,0.48166,0.96851,0.96279,0.94643,0.97579,0.84956,0.57924,0.31248,0.88879,0.003565,0.003565,0.003565
67,13766.7,0.64966,0.46992,0.9658,0.96532,0.93494,0.97506,0.84962,0.57883,0.31791,0.88632,0.003466,0.003466,0.003466
68,13972.1,0.64789,0.46976,0.9678,0.96431,0.94178,0.97492,0.84823,0.57661,0.31574,0.88744,0.003367,0.003367,0.003367
69,14177.5,0.64622,0.46525,0.96715,0.97067,0.94235,0.97534,0.85337,0.57329,0.31154,0.88195,0.003268,0.003268,0.003268
70,14382.8,0.64101,0.45996,0.96577,0.9745,0.93735,0.97598,0.85259,0.57301,0.31001,0.88206,0.003169,0.003169,0.003169
71,14587.8,0.64267,0.45984,0.9632,0.96224,0.94881,0.97988,0.85515,0.57112,0.306,0.88103,0.00307,0.00307,0.00307
72,14793.2,0.63643,0.45096,0.96128,0.97264,0.93783,0.97736,0.85421,0.57441,0.30774,0.88376,0.002971,0.002971,0.002971
73,14998.2,0.63604,0.44765,0.96409,0.97261,0.93828,0.97711,0.85229,0.5752,0.3089,0.8847,0.002872,0.002872,0.002872
74,15203.5,0.63443,0.44713,0.96213,0.96922,0.93714,0.97425,0.8505,0.57379,0.30877,0.88603,0.002773,0.002773,0.002773
75,15408.7,0.62337,0.43963,0.95704,0.97035,0.93546,0.97521,0.85332,0.57233,0.30309,0.88397,0.002674,0.002674,0.002674
76,15614,0.6232,0.44224,0.95696,0.96855,0.93315,0.97381,0.85187,0.57251,0.30574,0.88244,0.002575,0.002575,0.002575
77,15819.3,0.61984,0.43564,0.95405,0.96839,0.9372,0.97703,0.85346,0.57285,0.30418,0.88326,0.002476,0.002476,0.002476
78,16024.5,0.61853,0.43346,0.95303,0.9571,0.95032,0.97608,0.85579,0.57005,0.30103,0.88226,0.002377,0.002377,0.002377
79,16229.9,0.6133,0.42433,0.95234,0.97476,0.93354,0.97667,0.85567,0.57118,0.29782,0.88328,0.002278,0.002278,0.002278
80,16435.2,0.61512,0.42713,0.95681,0.95289,0.95271,0.97531,0.85733,0.56921,0.29829,0.88467,0.002179,0.002179,0.002179
81,16640.7,0.61269,0.42391,0.95211,0.97044,0.93873,0.97683,0.85795,0.56813,0.29687,0.88373,0.00208,0.00208,0.00208
82,16845.6,0.60755,0.41699,0.94919,0.97002,0.94333,0.97735,0.8593,0.568,0.29519,0.88366,0.001981,0.001981,0.001981
83,17050.8,0.59749,0.41471,0.94677,0.96492,0.9511,0.97793,0.85885,0.56705,0.2942,0.88301,0.001882,0.001882,0.001882
84,17256.3,0.60234,0.41079,0.94378,0.96925,0.94589,0.97895,0.86098,0.56706,0.29334,0.8824,0.001783,0.001783,0.001783
85,17461.2,0.5991,0.41192,0.94752,0.96637,0.94463,0.97851,0.86088,0.56756,0.29504,0.88217,0.001684,0.001684,0.001684
86,17666.4,0.59757,0.40406,0.94754,0.9741,0.9407,0.97859,0.86082,0.56698,0.29324,0.88188,0.001585,0.001585,0.001585
87,17871.7,0.59476,0.40607,0.94362,0.97016,0.94658,0.97989,0.86292,0.56605,0.29035,0.88072,0.001486,0.001486,0.001486
88,18076.7,0.59392,0.40043,0.94501,0.97677,0.94089,0.98017,0.86335,0.56578,0.29105,0.88097,0.001387,0.001387,0.001387
